id,label,count
"Stuart ""2D"" Pot","Stuart ""2D"" Pot",1817
Carmine Falcone,Carmine Falcone,220
Ezra Bridger,Ezra Bridger,1838
Karyn Faro,Karyn Faro,116
Abby Griffin,Abby Griffin,5156
Tris (The 100),Tris (The 100),122
Anne Styles,Anne Styles,102
Jay Tomlinson,Jay Tomlinson,1522
Alex (Stardew Valley),Alex (Stardew Valley),1149
Pam (Stardew Valley),Pam (Stardew Valley),338
Sun Wukong (RWBY),Sun Wukong (RWBY),1418
Darla,Darla,196
Xander Harris,Xander Harris,5085
Gwen Cooper,Gwen Cooper,3890
Owen Harper,Owen Harper,3672
Ayame | Iris (Gyakuten Saiban),Ayame | Iris (Gyakuten Saiban),387
Ayasato Mayoi | Maya Fey,Ayasato Mayoi | Maya Fey,3332
Philip Anderson (Sherlock),Philip Anderson (Sherlock),122
Sally Donovan,Sally Donovan,4290
Jesse (Fast and the Furious),Jesse (Fast and the Furious),220
Roman Pearce,Roman Pearce,303
Freddy Fazbear,Freddy Fazbear,1113
Toy Bonnie (Five Nights at Freddy's),Toy Bonnie (Five Nights at Freddy's),257
Hollyberry Cookie (Cookie Run),Hollyberry Cookie (Cookie Run),547
Licorice Cookie (Cookie Run),Licorice Cookie (Cookie Run),468
Kang Seungyoon,Kang Seungyoon,350
Pyo Jihoon | P.O.,Pyo Jihoon | P.O.,193
Katie Cassidy,Katie Cassidy,172
Matt Cohen,Matt Cohen,296
Pacifica Northwest,Pacifica Northwest,2599
Tambry (Gravity Falls),Tambry (Gravity Falls),201
Lewis Hamilton,Lewis Hamilton,1041
Mark Webber,Mark Webber,1554
Roj Blake,Roj Blake,1317
Servalan (Blake's 7),Servalan (Blake's 7),219
Joshua Graham (Fallout),Joshua Graham (Fallout),154
Original Fallout Characters,Original Fallout Characters,108
Jack Huey,Jack Huey,150
Thomas Dewey,Thomas Dewey,100
Loly Aivirrne,Loly Aivirrne,152
Tia Harribel,Tia Harribel,332
Fire Spirit Cookie (Cookie Run),Fire Spirit Cookie (Cookie Run),129
Sea Fairy Cookie (Cookie Run),Sea Fairy Cookie (Cookie Run),195
Blackarachnia (Transformers),Blackarachnia (Transformers),134
Ratchet (Transformers),Ratchet (Transformers),3778
Echo (Overwatch),Echo (Overwatch),103
Tekhartha Zenyatta,Tekhartha Zenyatta,2666
Bachira Meguru,Bachira Meguru,926
Yukimiya Kenyuu,Yukimiya Kenyuu,259
Malik Al-Sayf,Malik Al-Sayf,1122
Yusuf Tazim,Yusuf Tazim,112
Agatsuma Zenitsu,Agatsuma Zenitsu,913
Himejima Gyoumei,Himejima Gyoumei,383
Third One For All User (My Hero Academia),Third One For All User (My Hero Academia),413
Uraraka Ochako,Uraraka Ochako,27707
Amaguni Hitoya,Amaguni Hitoya,203
Yamada Jiro (Hypnosis Mic),Yamada Jiro (Hypnosis Mic),370
Kris' Red Soul (Deltarune),Kris' Red Soul (Deltarune),255
Undyne (Undertale),Undyne (Undertale),6536
Kim Dongyoung | Doyoung,Kim Dongyoung | Doyoung,5038
Other NCT Member(s),Other NCT Member(s),303
Aja Tarron,Aja Tarron,128
Darci Scott,Darci Scott,115
Belle (Once Upon a Time),Belle (Once Upon a Time),9355
Nicholas Rush,Nicholas Rush,492
Amenadiel (Lucifer TV),Amenadiel (Lucifer TV),994
Mazikeen,Mazikeen,253
Korra (Avatar),Korra (Avatar),5893
Wei (Avatar),Wei (Avatar),104
Bro Strider,Bro Strider,884
Gamzee Makara,Gamzee Makara,5694
Rock Lee,Rock Lee,3122
Shizune (Naruto),Shizune (Naruto),1055
Jackie Burkhart,Jackie Burkhart,507
Red Forman,Red Forman,231
Christian Horner,Christian Horner,1197
Lando Norris,Lando Norris,7257
Simon Tam,Simon Tam,1947
Bumblebee,Bumblebee,285
Wheeljack,Wheeljack,107
Meulin Leijon,Meulin Leijon,832
Porrim Maryam,Porrim Maryam,1138
Inferno (Transformers),Inferno (Transformers),149
Wheeljack (Transformers),Wheeljack (Transformers),1017
Roy Kent's Sister,Roy Kent's Sister,174
Simon (Ted Lasso),Simon (Ted Lasso),122
Donnel Udina,Donnel Udina,157
Karin Chakwas,Karin Chakwas,741
Goob (Dandy's World),Goob (Dandy's World),729
Shrimpo (Dandy's World),Shrimpo (Dandy's World),796
Persona 5 Protagonist,Persona 5 Protagonist,4890
Yoshizawa Sumire | Yoshizawa Kasumi,Yoshizawa Sumire | Yoshizawa Kasumi,748
Other K-pop Artist(s),Other K-pop Artist(s),418
Yang Jeongin | I.N,Yang Jeongin | I.N,15105
Robert Downey Jr.,Robert Downey Jr.,224
Tom Hiddleston,Tom Hiddleston,1582
"Reuben ""Payback"" Fitch","Reuben ""Payback"" Fitch",1149
"Tom ""Iceman"" Kazansky","Tom ""Iceman"" Kazansky",4213
Eren Yeager,Eren Yeager,27003
Hanji Zoe,Hanji Zoe,782
Hoss Cartwright,Hoss Cartwright,193
Iwaizumi Hajime,Iwaizumi Hajime,16242
Kawanishi Taichi,Kawanishi Taichi,699
Louis James Moriarty (Yuukoku no Moriarty),Louis James Moriarty (Yuukoku no Moriarty),504
Harry Potter (mentioned),Harry Potter (mentioned),221
Sirius Black,Sirius Black,69009
Luke Hemmings,Luke Hemmings,5949
Alexandra Cabot (L&O: SVU),Alexandra Cabot (L&O: SVU),456
Elizabeth Stabler,Elizabeth Stabler,111
Hank Voight,Hank Voight,653
Peter Stone (L&O: SVU),Peter Stone (L&O: SVU),123
Blaine's Parents (Glee),Blaine's Parents (Glee),225
Mercedes Jones,Mercedes Jones,2281
BoBoiBoy Ais | BoBoiBoy Ice,BoBoiBoy Ais | BoBoiBoy Ice,247
BoBoiBoy Gempa | BoBoiBoy Quake,BoBoiBoy Gempa | BoBoiBoy Quake,320
Misty Olszewski,Misty Olszewski,352
Viktor Vector,Viktor Vector,251
"Bartemius ""Barty"" Crouch Sr.","Bartemius ""Barty"" Crouch Sr.",490
Lily Evans Potter,Lily Evans Potter,31691
Sabine Cheng,Sabine Cheng,2447
Sabrina (Miraculous Ladybug),Sabrina (Miraculous Ladybug),138
Donna Noble,Donna Noble,2525
Jackie Tyler,Jackie Tyler,1125
Gu Xiang (Faraway Wanderers),Gu Xiang (Faraway Wanderers),287
Ye Baiyi,Ye Baiyi,308
Jack Marston,Jack Marston,804
John Marston,John Marston,2352
Snoopy (Peanuts),Snoopy (Peanuts),145
Violet Gray,Violet Gray,107
Laguna Loire,Laguna Loire,256
Quistis Trepe,Quistis Trepe,586
Richard Tweak,Richard Tweak,227
Wendy Testaburger,Wendy Testaburger,3750
First Aid (Transformers),First Aid (Transformers),565
张辽,张辽,441
曹丕,曹丕,426
Olivia Sui,Olivia Sui,111
Tatsuma Ryuuko | Ryuukyuu,Tatsuma Ryuuko | Ryuukyuu,464
Todoroki Enji | Endeavor,Todoroki Enji | Endeavor,10290
AI Program Delta,AI Program Delta,156
The Meta | Agent Maine,The Meta | Agent Maine,836
Kaikaina Grif | Sister,Kaikaina Grif | Sister,554
Leonard L. Church | AI Program Alpha,Leonard L. Church | AI Program Alpha,487
Ace Visconti,Ace Visconti,317
Dwight Fairfield,Dwight Fairfield,786
Danny Māhealani,Danny Māhealani,7184
Gerard Argent,Gerard Argent,1586
Han Solo,Han Solo,4190
Orson Krennic,Orson Krennic,291
Leo (Red White & Royal Blue),Leo (Red White & Royal Blue),138
Queen Mary (Red White & Royal Blue),Queen Mary (Red White & Royal Blue),203
Original Pony Character(s) (My Little Pony: Friendship is Magic),Original Pony Character(s) (My Little Pony: Friendship is Magic),140
Chrome Dokuro,Chrome Dokuro,861
Sasagawa Kyouko,Sasagawa Kyouko,646
Haggar (Voltron),Haggar (Voltron),1969
Hunk (Voltron),Hunk (Voltron),26052
Y/n - Character,Y/n - Character,2022
Kaltenecker (Voltron),Kaltenecker (Voltron),159
England (Hetalia),England (Hetalia),7792
Sealand (Hetalia),Sealand (Hetalia),431
Cassandra Dimitrescu,Cassandra Dimitrescu,857
E-Ming (Tian Guan Ci Fu),E-Ming (Tian Guan Ci Fu),138
Qi Rong (Tian Guan Ci Fu),Qi Rong (Tian Guan Ci Fu),397
Bickslow (Fairy Tail),Bickslow (Fairy Tail),847
Lucy Heartfilia,Lucy Heartfilia,6397
Mountain (Ghost Sweden Band),Mountain (Ghost Sweden Band),1029
Papa Emeritus III,Papa Emeritus III,2147
Abbie Mills (Sleepy Hollow),Abbie Mills (Sleepy Hollow),874
Erend (Horizon),Erend (Horizon),338
Varl (Horizon),Varl (Horizon),165
Original Ghost (Destiny),Original Ghost (Destiny),419
Uldren Sov | Crow,Uldren Sov | Crow,137
Dave Mustaine,Dave Mustaine,151
James Hetfield,James Hetfield,462
Akutagawa Ryuunosuke (Bungou Stray Dogs),Akutagawa Ryuunosuke (Bungou Stray Dogs),10729
Arthur Rimbaud (Bungou Stray Dogs),Arthur Rimbaud (Bungou Stray Dogs),708
Mordecai (Regular Show),Mordecai (Regular Show),190
Twilight Sparkle (My Little Pony: Friendship is Magic),Twilight Sparkle (My Little Pony: Friendship is Magic),999
Makarov Dreyar,Makarov Dreyar,993
Zeref Dragneel,Zeref Dragneel,265
Jeremy Blaire,Jeremy Blaire,253
Enabran Tain,Enabran Tain,138
Kira Nerys,Kira Nerys,1519
Thor,Thor,3333
Wanda Maximoff,Wanda Maximoff,5948
Ariel (Once Upon a Time),Ariel (Once Upon a Time),301
Aurora (Once Upon a Time),Aurora (Once Upon a Time),640
Patricia Thornton,Patricia Thornton,115
Samantha Cage (MacGyver TV 2016),Samantha Cage (MacGyver TV 2016),113
John Bridgens,John Bridgens,193
Thomas Armitage,Thomas Armitage,119
Beca Mitchell,Beca Mitchell,4156
Chloe (Pitch Perfect),Chloe (Pitch Perfect),551
Manic the Hedgehog,Manic the Hedgehog,167
Sonia the Hedgehog,Sonia the Hedgehog,150
Hannakii | Tia Safalin,Hannakii | Tia Safalin,105
Mishima Kazumi (Kimi ga Shine),Mishima Kazumi (Kimi ga Shine),121
Gene Hunt,Gene Hunt,1269
EDI,EDI,174
Tali'Zorah nar Rayya,Tali'Zorah nar Rayya,2361
Jay Arondekar,Jay Arondekar,224
Samantha Arondekar,Samantha Arondekar,294
Mary Grayson,Mary Grayson,108
Tim Drake,Tim Drake,13049
Me,Me,768
You,You,23265
Princess Celestia (My Little Pony: Friendship is Magic),Princess Celestia (My Little Pony: Friendship is Magic),612
Queen Chrysalis (My Little Pony: Friendship is Magic),Queen Chrysalis (My Little Pony: Friendship is Magic),115
Miles Ezekiel Shaw,Miles Ezekiel Shaw,137
Monty Green,Monty Green,5058
Bog King (Strange Magic),Bog King (Strange Magic),639
Dawn (Strange Magic),Dawn (Strange Magic),346
Adam Brown,Adam Brown,110
Graham McTavish,Graham McTavish,195
Kurt Hummel,Kurt Hummel,20053
Pam Anderson,Pam Anderson,186
Momochi Zabuza,Momochi Zabuza,679
Terumi Mei,Terumi Mei,389
CT-7567 | Rex,CT-7567 | Rex,3045
Jacen Syndulla,Jacen Syndulla,177
Bobby BearHug (Poppy Playtime),Bobby BearHug (Poppy Playtime),455
Miss Delight (Poppy Playtime),Miss Delight (Poppy Playtime),134
Amanda LaRusso,Amanda LaRusso,240
Samantha LaRusso,Samantha LaRusso,665
Ah-Un (InuYasha),Ah-Un (InuYasha),129
Jaken (InuYasha),Jaken (InuYasha),534
Logan Walker,Logan Walker,369
Phillip Graves (Call of Duty),Phillip Graves (Call of Duty),1787
Anthea (Sherlock),Anthea (Sherlock),2586
Siger Holmes,Siger Holmes,185
Nepeta Leijon,Nepeta Leijon,3766
The Kids (Homestuck),The Kids (Homestuck),128
Johnny Lawrence,Johnny Lawrence,1058
Rosa Diaz,Rosa Diaz,1294
Archie Andrews,Archie Andrews,3625
Cheryl Blossom,Cheryl Blossom,2483
Nice Eclipse | Solar (Sun and Moon Show),Nice Eclipse | Solar (Sun and Moon Show),374
Ruin Eclipse (Sun and Moon Show),Ruin Eclipse (Sun and Moon Show),105
"David ""Dave"" Katz","David ""Dave"" Katz",242
Luther Hargreeves,Luther Hargreeves,2055
Aelwyn Abernant,Aelwyn Abernant,327
Riz Gukgak,Riz Gukgak,845
Kolivan (Voltron),Kolivan (Voltron),2496
Kuro (Voltron),Kuro (Voltron),401
Bismuth (Steven Universe),Bismuth (Steven Universe),640
Topaz (Steven Universe),Topaz (Steven Universe),111
Kevin Magnussen,Kevin Magnussen,788
Pascal Wehrlein,Pascal Wehrlein,104
Lautaro Martínez,Lautaro Martínez,139
Lionel Scaloni,Lionel Scaloni,576
Lilith (Shall We Date?: Obey Me!),Lilith (Shall We Date?: Obey Me!),135
Michael (Shall We Date?: Obey Me!),Michael (Shall We Date?: Obey Me!),150
B. Zuka (Roblox: Phighting!),B. Zuka (Roblox: Phighting!),381
Medkit (Roblox: Phighting!),Medkit (Roblox: Phighting!),1404
Female Ryder | Sara,Female Ryder | Sara,1340
Vetra Nyx,Vetra Nyx,437
Philip J. Fry,Philip J. Fry,395
Turanga Leela,Turanga Leela,266
Jacqui (Walking Dead),Jacqui (Walking Dead),107
Sophia Peletier,Sophia Peletier,753
Amber,Amber,175
Buffy Driscoll,Buffy Driscoll,603
Original Akumatized Character(s),Original Akumatized Character(s),585
Plagg (Miraculous Ladybug),Plagg (Miraculous Ladybug),5635
Finn (Gilmore Girls),Finn (Gilmore Girls),111
Jess Mariano,Jess Mariano,982
Bang Yedam,Bang Yedam,216
Lee Minho | Lee Know,Lee Minho | Lee Know,26000
(S)TRONG Trọng Hiếu | Nguyễn Trọng Hiếu,(S)TRONG Trọng Hiếu | Nguyễn Trọng Hiếu,126
Neko Lê | Lê Trường Sơn,Neko Lê | Lê Trường Sơn,1056
Alya (Miraculous Ladybug),Alya (Miraculous Ladybug),307
Nathanaël (Miraculous Ladybug),Nathanaël (Miraculous Ladybug),254
Amber Volakis,Amber Volakis,267
Robert Chase,Robert Chase,1654
Goddess of Flowers (Genshin Impact),Goddess of Flowers (Genshin Impact),124
Nilou (Genshin Impact),Nilou (Genshin Impact),1823
The Doctor's TARDIS,The Doctor's TARDIS,1069
Ruth Serbel,Ruth Serbel,102
Caitlin Snow,Caitlin Snow,4971
Walter Steele,Walter Steele,331
"Prince ""Charming"" James | David Nolan","Prince ""Charming"" James | David Nolan",4840
Ratonhnhaké:ton | Connor Kenway,Ratonhnhaké:ton | Connor Kenway,122
William Miles,William Miles,249
Ayan (The Eclipse),Ayan (The Eclipse),537
Eugene (Not Me TV 2021),Eugene (Not Me TV 2021),118
Angelica Schuyler,Angelica Schuyler,3277
Maria Lewis Reynolds,Maria Lewis Reynolds,185
River Tam,River Tam,1822
Aria Montgomery,Aria Montgomery,539
Mona Vanderwaal,Mona Vanderwaal,236
Alya,Alya,181
Ladybug,Ladybug,1222
Dinah Hecat,Dinah Hecat,160
Himemiya Touri,Himemiya Touri,400
Takamine Midori,Takamine Midori,454
Jack | The Ripper (Identity V),Jack | The Ripper (Identity V),623
Naib Subedar | Mercenary,Naib Subedar | Mercenary,1769
Caelus (Honkai: Star Rail),Caelus (Honkai: Star Rail),3289
Original Honkai: Star Rail Characters,Original Honkai: Star Rail Characters,351
Dan Gruchy,Dan Gruchy,438
Griffon Ramsey,Griffon Ramsey,640
Kaito,Kaito,114
Megurine Luka,Megurine Luka,1341
Fluttershy (My Little Pony),Fluttershy (My Little Pony),148
Princess Celestia,Princess Celestia,244
Jeon Soyeon,Jeon Soyeon,507
Min Yoongi | Suga,Min Yoongi | Suga,67889
Clione (One Piece),Clione (One Piece),100
Usopp (One Piece),Usopp (One Piece),6846
Scotch | Morofushi Hiromitsu,Scotch | Morofushi Hiromitsu,765
Sera Masumi,Sera Masumi,268
Jake Peralta,Jake Peralta,2896
Alice Michelle,Alice Michelle,131
Randy Nedley,Randy Nedley,424
Barbara Gordon,Barbara Gordon,3564
Kon-El,Kon-El,463
Reyes Vidal,Reyes Vidal,682
Suvi Anwar,Suvi Anwar,240
Kanaya Maryam,Kanaya Maryam,6754
Karkat Vantas,Karkat Vantas,14837
Australia (Hetalia: Axis Powers),Australia (Hetalia: Axis Powers),175
Austria (Hetalia: Axis Powers),Austria (Hetalia: Axis Powers),1191
Eli Bradley,Eli Bradley,240
Wiccan,Wiccan,114
Katie Bell,Katie Bell,1298
Percy Weasley,Percy Weasley,6153
Fang (My Time At Sandrock),Fang (My Time At Sandrock),157
Haru (My Time At Sandrock),Haru (My Time At Sandrock),122
Kurosu Jun,Kurosu Jun,143
Shirogane Naoto,Shirogane Naoto,797
Galahad (Arthurian),Galahad (Arthurian),187
Merlin (Merlin),Merlin (Merlin),28949
Finrod Felagund,Finrod Felagund,260
Galadriel (Tolkien),Galadriel (Tolkien),686
Belle | Lacey,Belle | Lacey,207
Jiminy Cricket | Archie Hopper,Jiminy Cricket | Archie Hopper,914
Other Character Tags to Be Added,Other Character Tags to Be Added,17047
Wanda Fairywinkle Cosma,Wanda Fairywinkle Cosma,363
Boyd,Boyd,189
Isaac,Isaac,121
Ryan O'Reily,Ryan O'Reily,298
Tim McManus,Tim McManus,147
Black Lion (Voltron),Black Lion (Voltron),643
Green Lion (Voltron),Green Lion (Voltron),290
Cameron Corduroy Wilkins,Cameron Corduroy Wilkins,331
Emma (Total Drama),Emma (Total Drama),387
Godrick the Grafted (Elden Ring),Godrick the Grafted (Elden Ring),134
Miquella (Elden Ring),Miquella (Elden Ring),598
Abby Suso,Abby Suso,147
Haku Shota | Soul,Haku Shota | Soul,288
Park Seonghwa,Park Seonghwa,8808
Christophe Giacometti's Boyfriend,Christophe Giacometti's Boyfriend,338
Yakov Feltsman,Yakov Feltsman,4155
Pinako Rockbell,Pinako Rockbell,394
Sig Curtis,Sig Curtis,114
Kim Ryeowook,Kim Ryeowook,667
Lee Donghae,Lee Donghae,1674
